what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311842693405
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311842693422
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842693478
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1311842696015
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1311842697424
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311842699045
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311842699138
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311842699138
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311842705324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842706475
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311842706853
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311842706884
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842706957
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1311842707922
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1311842708774
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842711004
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1311842711614
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842711633
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311842751620
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311842751703
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311842751703
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1311842758988
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311842758988
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842765673
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842769611
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842772459
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311842791076
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311842791138
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842791415
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1311842803230
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1311842809610
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311842810484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842814359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1311842866375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842866406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842870562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842873812
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1311842874574
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842877815
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311842879542
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311842879610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842879879
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311842883801
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311842883802
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1311842884618
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311842884618
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842887956
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1311842888547
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842888562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842891163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842893148
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842896340
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1311842897064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842897099
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842900647
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311842907755
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311842907821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311842908101
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311842967675
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311842972937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311842984042
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311843031317
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311843036667
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311843038996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311843039060
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311843041746
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311843041933
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311843041973
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311843044930
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311843044930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311843045732
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311843058600
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311843060340
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311843060381
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311843061464
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311843062342
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311843069057
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311843070140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311843071675
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311843076893
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311843080309
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311843176582
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1311843178146
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311843182032
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1311843182725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311843182766
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311843183414
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311843185067
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311843185067
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1311843186037
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311843186037
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311843188140
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311843188176
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1311843191244
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311843191245
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311843191890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311843199503
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311843203975
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311843204009
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1311843205611
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311843205611
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311843207687
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311843207758
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1311843207806
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1311843208641
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311843209665
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1311843209731
